scan_time,ticker,current_price,ctx_Y_closed,ctx_Q_closed,ctx_M_closed,ctx_W_closed,ctx_D_closed,ctx_Y_live,ctx_Q_live,ctx_M_live,ctx_W_live,ctx_D_live,score,sector,industry,etfs,etf_count,etfs_pretty
2026-05-06 18:48:21 EDT,HSBC,91.37,2U,2U,2U,2U,2U,2U,1,1,2D,2U,15,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,SAP,173.06,2U,2D,2D,1,2U,2D,2D,1,2U,2U,-1,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,MRK,113.55,2D,2U,3,2D,3,2U,1,1,2U,3,-3,Health Care,Unknown,XLV,1,XLV
2026-05-06 18:48:21 EDT,NVS,148.32,2U,2U,2D,2D,2U,2U,1,1,2U,2U,5,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,AXP,321.91,2U,2D,2U,2D,2U,1,1,1,1,2U,3,Financials,Unknown,DIA|XLF,2,"DIA, XLF"
2026-05-06 18:48:21 EDT,LRCX,296.92,3,2U,2U,2D,2U,2U,2U,2U,2U,2U,6,Information Technology,Unknown,QQQ|SMH|XLK,3,"QQQ, SMH, XLK"
2026-05-06 18:48:21 EDT,RTX,176.7,2U,2U,2D,1,2U,2U,2D,2D,3,2U,7,Industrials,Unknown,XLI,1,XLI
2026-05-06 18:48:21 EDT,NVO,45.75,2D,3,2U,2U,2U,2D,1,2U,2U,2U,1,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,CRM,181.13,1,2D,2D,1,2D,2D,2D,1,2U,2D,-8,Information Technology,Unknown,DIA|XLK,2,"DIA, XLK"
2026-05-06 18:48:21 EDT,RY,181.63,2U,2U,2U,2U,2U,2U,2U,2U,2U,2U,15,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,PM,170.53,2U,2U,2D,1,2U,2U,2D,2U,2U,2U,7,Consumer Staples,Unknown,XLP,1,XLP
2026-05-06 18:48:21 EDT,AMAT,428.6,3,2U,2U,2D,2U,2U,2U,2U,2U,2U,6,Information Technology,Unknown,QQQ|SMH|XLK,3,"QQQ, SMH, XLK"
2026-05-06 18:48:21 EDT,TMO,473.3,2D,3,3,1,2U,2U,2D,1,2D,2U,-4,Health Care,Unknown,XLV,1,XLV
